symbol,isin,quarter,status,words,note
DUK,US26441C2044,2012Q1,ok,6589,75 turns
DUK,US26441C2044,2012Q2,ok,7158,55 turns
DUK,US26441C2044,2012Q3,ok,8058,78 turns
DUK,US26441C2044,2012Q4,ok,86,47 turns
DUK,US26441C2044,2013Q1,ok,7812,46 turns
DUK,US26441C2044,2013Q2,ok,7623,90 turns
DUK,US26441C2044,2013Q3,ok,9158,138 turns
DUK,US26441C2044,2013Q4,ok,8798,74 turns
DUK,US26441C2044,2014Q1,fail,0,all AV keys exhausted
DUK,US26441C2044,2014Q1,ok,9269,109 turns
DUK,US26441C2044,2014Q2,ok,7916,75 turns
DUK,US26441C2044,2014Q3,ok,8058,85 turns
DUK,US26441C2044,2014Q4,ok,8274,115 turns
DUK,US26441C2044,2015Q1,ok,8687,77 turns
DUK,US26441C2044,2015Q2,ok,9038,118 turns
DUK,US26441C2044,2015Q3,ok,6716,81 turns
DUK,US26441C2044,2015Q4,ok,7838,105 turns
DUK,US26441C2044,2016Q1,ok,8247,151 turns
DUK,US26441C2044,2016Q2,ok,8859,130 turns
DUK,US26441C2044,2016Q3,ok,4595,30 turns
DUK,US26441C2044,2016Q4,ok,9072,112 turns
DUK,US26441C2044,2017Q1,ok,7773,132 turns
DUK,US26441C2044,2017Q2,ok,5423,74 turns
DUK,US26441C2044,2017Q3,ok,7923,130 turns
DUK,US26441C2044,2017Q4,ok,8898,110 turns
DUK,US26441C2044,2018Q1,ok,7535,142 turns
DUK,US26441C2044,2018Q2,ok,4914,87 turns
DUK,US26441C2044,2018Q3,ok,7998,123 turns
DUK,US26441C2044,2018Q4,ok,8445,109 turns
DUK,US26441C2044,2019Q1,ok,6735,92 turns
DUK,US26441C2044,2019Q2,ok,7593,108 turns
DUK,US26441C2044,2019Q3,ok,6791,56 turns
DUK,US26441C2044,2019Q4,ok,7216,58 turns
DUK,US26441C2044,2020Q1,ok,7906,64 turns
DUK,US26441C2044,2020Q2,fail,0,all AV keys exhausted
DUK,US26441C2044,2020Q2,fail,0,all AV keys exhausted
DUK,US26441C2044,2020Q2,ok,7471,70 turns
DUK,US26441C2044,2020Q3,ok,8891,107 turns
DUK,US26441C2044,2020Q4,ok,7797,104 turns
DUK,US26441C2044,2021Q1,ok,7197,91 turns
DUK,US26441C2044,2021Q2,ok,6423,65 turns
DUK,US26441C2044,2021Q3,ok,5933,85 turns
DUK,US26441C2044,2021Q4,ok,6741,60 turns
GM,US37045V1008,2007Q1,ok,434,9 turns
GM,US37045V1008,2007Q2,ok,1994,9 turns
GM,US37045V1008,2007Q3,ok,1868,8 turns
GM,US37045V1008,2007Q4,fail,0,no transcript
GM,US37045V1008,2008Q1,ok,3039,14 turns
GM,US37045V1008,2008Q2,fail,0,no transcript
GM,US37045V1008,2008Q3,ok,2740,9 turns
GM,US37045V1008,2008Q4,ok,7282,84 turns
GM,US37045V1008,2009Q1,fail,0,no transcript
GM,US37045V1008,2009Q2,fail,0,no transcript
GM,US37045V1008,2009Q3,fail,0,no transcript
GM,US37045V1008,2009Q4,fail,0,no transcript
GM,US37045V1008,2010Q1,fail,0,no transcript
GM,US37045V1008,2010Q2,fail,0,no transcript
GM,US37045V1008,2010Q3,fail,0,no transcript
GM,US37045V1008,2010Q4,fail,0,no transcript
GM,US37045V1008,2011Q1,fail,0,no transcript
GM,US37045V1008,2011Q2,ok,10391,80 turns
GM,US37045V1008,2011Q3,fail,0,all AV keys exhausted
